class_id,class_name,train_images,train_instances,val_images,val_instances
0,almond,31,1072,7,132
1,apple,738,10138,184,3529
2,apricot,7,50,3,12
3,artichoke,18,176,11,102
4,asparagus,39,584,13,108
5,avocado,70,623,22,138
6,banana,1037,31549,312,8060
7,bean curd/tofu,15,166,5,36
8,bell pepper/capsicum,187,2591,57,627
9,blackberry,22,149,4,34
10,blueberry,63,1196,13,331
11,broccoli,727,6852,265,2420
12,brussels sprouts,26,348,4,70
13,cantaloup/cantaloupe,20,151,1,30
14,carrot,681,10341,235,2905
15,cauliflower,66,541,30,203
16,cayenne/cayenne spice/cayenne pepper/cayenne pepper spice/red pepper/red pepper,8,30,2,11
17,celery,59,537,26,153
18,cherry,55,586,11,90
19,chickpea/garbanzo,7,144,2,48
20,chili/chili vegetable/chili pepper/chili pepper vegetable/chilli/chilli vegetable/chilly/chilly,14,286,1,1
21,clementine,4,101,0,0
22,coconut/cocoanut,17,250,2,11
23,edible corn/corn/maize,63,1279,26,248
24,cucumber/cuke,143,986,42,308
25,date/date fruit,1,27,2,57
26,eggplant/aubergine,31,223,5,45
27,fig/fig fruit,2,127,1,3
28,garlic/ail,36,289,10,40
29,ginger/gingerroot,10,28,4,27
30,Strawberry,10,45,6,9
31,gourd,5,99,1,2
32,grape,135,4297,40,779
33,green bean,56,1148,34,618
34,green onion/spring onion/scallion,57,902,17,215
35,Tomato,2,2,2,3
36,kiwi fruit,51,445,17,155
37,lemon,189,1134,64,308
38,lettuce,392,3034,127,860
39,lime,66,674,26,198
40,mandarin orange,15,237,7,132
41,melon,8,96,3,25
42,mushroom,234,3665,87,1186
43,onion,351,5342,138,1595
44,orange/orange fruit,467,7217,159,2804
45,papaya,4,73,3,99
46,pea/pea food,47,1325,13,280
47,peach,44,603,12,235
48,pear,64,564,24,311
49,persimmon,4,11,0,0
50,pickle,126,385,47,105
51,pineapple,100,970,33,234
52,potato,181,2893,51,532
53,prune,1,6,0,0
54,pumpkin,40,1031,15,55
55,radish/daikon,30,316,11,88
56,raspberry,39,401,14,209
57,strawberry,170,2258,60,922
58,sweet potato,9,89,7,25
59,tomato,713,7655,219,1766
60,turnip,4,58,2,28
61,watermelon,62,520,17,91
62,zucchini/courgette,51,507,8,47
