epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,252.761,0.99097,0.78187,0.9957,0.3384,0.26017,0.23888,0.17219,1.06716,1.41689,1.07077,4.97171e-05,4.97171e-05,4.97171e-05
51,458.301,0.97143,0.77171,0.99317,0.34999,0.23923,0.23596,0.17031,1.06785,1.41016,1.07204,4.70202e-05,4.70202e-05,4.70202e-05
52,663.466,0.97913,0.77412,0.99291,0.30383,0.25334,0.22719,0.163,1.07081,1.42166,1.07242,4.43668e-05,4.43668e-05,4.43668e-05
53,868.833,0.97396,0.75687,0.98994,0.31725,0.24858,0.23007,0.16491,1.07009,1.42024,1.07077,4.17609e-05,4.17609e-05,4.17609e-05
54,1073.51,0.96542,0.74775,0.98677,0.34673,0.25777,0.23727,0.17099,1.07019,1.38902,1.07159,3.92067e-05,3.92067e-05,3.92067e-05
55,1278.67,0.95534,0.73886,0.98431,0.399,0.24715,0.23644,0.17015,1.07016,1.40226,1.07366,3.67081e-05,3.67081e-05,3.67081e-05
56,1484.38,0.96432,0.73035,0.98319,0.34845,0.25201,0.23712,0.17209,1.06785,1.40147,1.07129,3.42689e-05,3.42689e-05,3.42689e-05
57,1690.42,0.94206,0.72737,0.98137,0.35157,0.2472,0.24056,0.17441,1.07305,1.3944,1.07354,3.18929e-05,3.18929e-05,3.18929e-05
58,1897.62,0.95357,0.72042,0.98318,0.35237,0.25479,0.23549,0.17065,1.07196,1.41314,1.07375,2.95837e-05,2.95837e-05,2.95837e-05
59,2103.9,0.95037,0.71411,0.9793,0.37306,0.25757,0.23197,0.16771,1.06918,1.42097,1.07331,2.7345e-05,2.7345e-05,2.7345e-05
60,2309.47,0.94962,0.7038,0.98047,0.36517,0.26546,0.24364,0.17677,1.07069,1.42008,1.07287,2.51801e-05,2.51801e-05,2.51801e-05
61,2522.19,0.93428,0.7012,0.97766,0.34635,0.25505,0.241,0.17379,1.0728,1.4171,1.07468,2.30923e-05,2.30923e-05,2.30923e-05
62,2729.85,0.94542,0.69927,0.97876,0.37841,0.25909,0.23933,0.17342,1.07292,1.41487,1.07605,2.1085e-05,2.1085e-05,2.1085e-05
63,2938.2,0.93,0.68799,0.97297,0.37912,0.24804,0.23723,0.17161,1.07164,1.41677,1.07553,1.91613e-05,1.91613e-05,1.91613e-05
64,3146.03,0.93497,0.68532,0.97314,0.40785,0.2498,0.24061,0.17418,1.07293,1.42507,1.07681,1.73239e-05,1.73239e-05,1.73239e-05
65,3352.34,0.92571,0.67852,0.9677,0.37005,0.25099,0.23666,0.17072,1.07288,1.43199,1.07468,1.5576e-05,1.5576e-05,1.5576e-05
66,3558.87,0.92909,0.68132,0.97102,0.37233,0.25461,0.24223,0.17585,1.07153,1.42515,1.07503,1.392e-05,1.392e-05,1.392e-05
67,3773.71,0.92524,0.67646,0.9719,0.37968,0.25647,0.24333,0.17518,1.07193,1.4246,1.07458,1.23585e-05,1.23585e-05,1.23585e-05
68,3987.54,0.93209,0.68202,0.96973,0.37982,0.25318,0.24106,0.17389,1.07328,1.41725,1.0759,1.08941e-05,1.08941e-05,1.08941e-05
69,4200.41,0.9175,0.66162,0.96328,0.37701,0.24891,0.23799,0.17232,1.07433,1.4273,1.07641,9.52881e-06,9.52881e-06,9.52881e-06
70,4410.45,0.9166,0.66427,0.96786,0.37,0.25386,0.23995,0.17342,1.07386,1.43007,1.0763,8.2649e-06,8.2649e-06,8.2649e-06
71,4623.6,0.92179,0.66812,0.96635,0.34917,0.24035,0.22818,0.16519,1.08778,1.44167,1.08547,7.10427e-06,7.10427e-06,7.10427e-06
72,4844.1,0.90885,0.64279,0.96167,0.36379,0.24175,0.23433,0.17017,1.08295,1.44482,1.08155,6.0487e-06,6.0487e-06,6.0487e-06
73,5062.95,0.9096,0.6389,0.95867,0.36259,0.24022,0.23428,0.16989,1.08023,1.43639,1.07938,5.09983e-06,5.09983e-06,5.09983e-06
74,5279.51,0.90008,0.64012,0.95827,0.35201,0.24555,0.2339,0.16951,1.08132,1.4382,1.07962,4.25911e-06,4.25911e-06,4.25911e-06
75,5493.29,0.90357,0.64232,0.95974,0.36112,0.24166,0.23264,0.16836,1.08158,1.44392,1.07955,3.52786e-06,3.52786e-06,3.52786e-06
76,5709.95,0.90414,0.63116,0.95544,0.36031,0.24234,0.23141,0.16764,1.08353,1.44516,1.08081,2.90718e-06,2.90718e-06,2.90718e-06
77,5932.72,0.89377,0.62483,0.9534,0.34996,0.25045,0.23487,0.17041,1.08183,1.43946,1.08044,2.39805e-06,2.39805e-06,2.39805e-06
78,6152.7,0.88859,0.62239,0.95576,0.35678,0.24533,0.23503,0.17075,1.08063,1.44133,1.0798,2.00124e-06,2.00124e-06,2.00124e-06
79,6373.04,0.89676,0.63331,0.95565,0.34952,0.24855,0.23378,0.16922,1.0802,1.44169,1.07946,1.71736e-06,1.71736e-06,1.71736e-06
80,6591.05,0.89403,0.62027,0.95085,0.3516,0.24722,0.23402,0.16956,1.08097,1.44383,1.08007,1.54686e-06,1.54686e-06,1.54686e-06
