epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.469,1.26523,2.59874,1.18608,0.41639,0.11586,0.0866,0.06087,1.09676,1.78827,1.11847,4.96076e-05,4.96076e-05,4.96076e-05
2,802.106,1.21101,1.98667,1.15231,0.45554,0.13428,0.09779,0.06673,1.10135,1.77203,1.11688,9.59982e-05,9.59982e-05,9.59982e-05
3,1188.86,1.20549,1.90974,1.15613,0.3871,0.13699,0.10109,0.07166,1.07826,1.70836,1.11902,0.000139111,0.000139111,0.000139111
4,1575.43,1.20123,1.82267,1.15109,0.45675,0.15497,0.12596,0.08856,1.08365,1.5913,1.11895,0.000134249,0.000134249,0.000134249
5,1961.41,1.1791,1.71438,1.14196,0.37407,0.17238,0.13274,0.09351,1.07708,1.60728,1.11234,0.000129332,0.000129332,0.000129332
6,2347.09,1.17446,1.64427,1.1368,0.40157,0.18125,0.13747,0.09779,1.05768,1.55974,1.10195,0.000124415,0.000124415,0.000124415
7,2733.36,1.14975,1.56468,1.12175,0.39681,0.18803,0.15234,0.10809,1.04613,1.51415,1.09961,0.000119498,0.000119498,0.000119498
8,3118.48,1.13658,1.53752,1.11876,0.41806,0.18779,0.15659,0.10998,1.05898,1.51994,1.09658,0.000114581,0.000114581,0.000114581
9,3503.8,1.13085,1.49397,1.11314,0.39568,0.19695,0.16644,0.11875,1.04752,1.46402,1.09248,0.000109664,0.000109664,0.000109664
10,3889.53,1.12453,1.42211,1.10753,0.4198,0.19759,0.17305,0.12476,1.02894,1.44467,1.09051,0.000104747,0.000104747,0.000104747
11,4274.6,1.11029,1.37232,1.10424,0.44335,0.20558,0.18544,0.13337,1.03043,1.42796,1.09028,9.983e-05,9.983e-05,9.983e-05
12,4658.83,1.10477,1.35215,1.10345,0.46271,0.21312,0.19804,0.1441,1.02494,1.39429,1.08505,9.4913e-05,9.4913e-05,9.4913e-05
13,5043.4,1.09657,1.30934,1.09836,0.40006,0.24086,0.2031,0.14882,1.01662,1.35505,1.08012,8.9996e-05,8.9996e-05,8.9996e-05
14,5426.73,1.08411,1.2571,1.08783,0.42538,0.22447,0.19898,0.14371,1.02147,1.37501,1.0837,8.5079e-05,8.5079e-05,8.5079e-05
15,5810.47,1.07781,1.23809,1.08457,0.41874,0.21601,0.20316,0.14785,1.01867,1.38768,1.08411,8.0162e-05,8.0162e-05,8.0162e-05
16,6193.93,1.06279,1.20891,1.08086,0.38613,0.24653,0.20875,0.15205,1.01136,1.357,1.07793,7.5245e-05,7.5245e-05,7.5245e-05
17,6577.7,1.05343,1.15559,1.07392,0.35646,0.24084,0.21715,0.15905,1.00585,1.30563,1.07826,7.0328e-05,7.0328e-05,7.0328e-05
18,6961.24,1.04573,1.12694,1.07075,0.37067,0.2492,0.2153,0.1563,1.00509,1.31154,1.07813,6.5411e-05,6.5411e-05,6.5411e-05
19,7343.66,1.03883,1.10032,1.07086,0.42526,0.23306,0.2169,0.15766,1.00034,1.32568,1.07284,6.0494e-05,6.0494e-05,6.0494e-05
20,7726.72,1.03755,1.07387,1.06356,0.3733,0.24951,0.22518,0.16483,1.00309,1.31617,1.07574,5.5577e-05,5.5577e-05,5.5577e-05
21,8108.81,1.01328,1.04835,1.05926,0.37435,0.25496,0.22328,0.16304,0.99983,1.29902,1.07368,5.066e-05,5.066e-05,5.066e-05
22,8487.82,1.00123,1.01347,1.05012,0.40415,0.2575,0.23304,0.16922,1.00193,1.27967,1.07382,4.5743e-05,4.5743e-05,4.5743e-05
23,8867.2,0.99769,0.98469,1.05003,0.3919,0.24171,0.22926,0.16646,1.00308,1.29418,1.07516,4.0826e-05,4.0826e-05,4.0826e-05
24,9246.39,0.98209,0.95346,1.03894,0.39675,0.25095,0.23104,0.16786,0.99487,1.32114,1.07058,3.5909e-05,3.5909e-05,3.5909e-05
25,9624.92,0.97803,0.92061,1.03637,0.37052,0.26231,0.23428,0.16978,0.99697,1.29965,1.07292,3.0992e-05,3.0992e-05,3.0992e-05
26,10004,0.96504,0.90844,1.03379,0.29907,0.26704,0.23283,0.17065,0.99568,1.30616,1.06967,2.6075e-05,2.6075e-05,2.6075e-05
27,10383.7,0.96156,0.88172,1.03286,0.37361,0.24843,0.23509,0.17192,0.99717,1.30489,1.07291,2.1158e-05,2.1158e-05,2.1158e-05
28,10763,0.9564,0.8652,1.02873,0.37274,0.2537,0.23682,0.17278,0.99685,1.29813,1.07231,1.6241e-05,1.6241e-05,1.6241e-05
29,11142.8,0.9456,0.84352,1.02529,0.3581,0.24691,0.23591,0.17293,0.98762,1.29985,1.06792,1.1324e-05,1.1324e-05,1.1324e-05
30,11522.2,0.94468,0.82967,1.02246,0.34298,0.2525,0.2375,0.17418,0.98956,1.29326,1.06861,6.407e-06,6.407e-06,6.407e-06
